r,t,c,u
2.0,20.0,0.6049475,6.13795
2.0,20.0,0.7634025,6.72143
2.0,20.0,1.3287892857142858,7.2091
2.0,20.0,1.60463875,6.9043
2.0,30.0,0.6049475,7.09589
2.0,30.0,0.7634025,7.83612
2.0,30.0,1.3287892857142858,8.68956
2.0,30.0,1.60463875,8.37605
3.0,20.0,0.6049475,7.37589
3.0,20.0,0.7634025,7.73995
3.0,20.0,1.3287892857142858,7.79196
3.0,20.0,1.60463875,6.89046
3.0,30.0,0.6049475,8.61545
3.0,30.0,0.7634025,9.06619
3.0,30.0,1.3287892857142858,9.10087
3.0,30.0,1.60463875,8.58944
4.0,20.0,0.6049475,7.99355
4.0,20.0,0.7634025,8.41283
4.0,20.0,1.3287892857142858,7.66411
4.0,20.0,1.60463875,6.8555
4.0,30.0,0.6049475,9.3612
4.0,30.0,0.7634025,9.95019
4.0,30.0,1.3287892857142858,9.56086
4.0,30.0,1.60463875,8.74226
5.0,20.0,0.6049475,7.74051
5.0,20.0,0.7634025,8.4535
5.0,20.0,1.3287892857142858,7.93064
5.0,20.0,1.60463875,7.29371
5.0,30.0,0.6049475,7.74051
5.0,30.0,0.7634025,8.4535
5.0,30.0,1.3287892857142858,7.93064
5.0,30.0,1.60463875,7.29371
