PAN,LiClO4,EC,σ(S cm-1),Ea(kcal/mol)
85.3,4.5,10.2,2.11×10-4
50.7,12.7,36.6,2.14×10-4
66.7,7.4,25.9,5.01×10-5,8.9
56.5,14.1,29.4,3.21×10-5
91.1,4.8,4.1,1.17×10-6
76.6,8.5,14.9,7.81×10-6,9.8
65.2,16.3,18.5,1.77×10-6,10.7
52.3,22.4,25.3,1.31×10-6
89.2,4.7,6.1,4.07×10-7
72,18,10,8.68×10-7
70.8,17.7,11.5,5.14×10-7,14.1
70.5,17.6,11.9,3.23×10-7
69.3,17.3,13.4,8.68×10-7,12.1
56.4,24.2,19.4,2.82×10-7
53.5,35.7,10.8,4.48×10-7
52.8,35.2,12,4.40×10-7
73,18.3,8.7,9.38×10-8
61,26.2,12.8,1.20×10-8
58.2,38.8,3,1.41×10-8
