r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
9.873843193054199219e-01,9.873843193054199219e-01,4.851486980915069580e-01,7.245934009552001953e-01,8.130000114440917969e+00,8.000000000000000000e+00,0.000000000000000000e+00,4.390000000000000000e+02,8.000000000000000000e+00,4.390000000000000000e+02,8.000000000000000000e+00,7.757612466812133789e-01,6.924521327018737793e-01,8.000000119209289551e-01,0.000000000000000000e+00,5.668802261352539062e-01,3.074684143066406250e+00
9.873843193054199219e-01,9.873843193054199219e-01,4.896786212921142578e-01,7.340155839920043945e-01,8.045044898986816406e+00,6.199999809265136719e+00,0.000000000000000000e+00,4.370000000000000000e+02,9.000000000000000000e+00,4.150000000000000000e+02,8.000000000000000000e+00,7.767335772514343262e-01,6.968064308166503906e-01,7.779999971389770508e-01,0.000000000000000000e+00,5.985102057456970215e-01,4.168523788452148438e+00
9.873843193054199219e-01,8.389388918876647949e-01,4.703063666820526123e-01,6.298937201499938965e-01,8.053097724914550781e+00,8.800000190734863281e+00,0.000000000000000000e+00,4.360000000000000000e+02,1.000000000000000000e+01,4.050000000000000000e+02,1.000000000000000000e+01,7.760449647903442383e-01,6.863279938697814941e-01,7.739999890327453613e-01,0.000000000000000000e+00,5.569950938224792480e-01,5.220796585083007812e+00
9.873843193054199219e-01,9.774112701416015625e-01,4.792092442512512207e-01,6.705434918403625488e-01,8.223076820373535156e+00,1.030000019073486328e+01,0.000000000000000000e+00,4.330000000000000000e+02,9.000000000000000000e+00,3.860000000000000000e+02,8.000000000000000000e+00,7.749269604682922363e-01,6.934626102447509766e-01,7.400000095367431641e-01,0.000000000000000000e+00,6.193321943283081055e-01,6.236799716949462891e+00
9.873843193054199219e-01,9.873843193054199219e-01,4.934204220771789551e-01,7.480337023735046387e-01,7.681481361389160156e+00,6.636363506317138672e+00,0.000000000000000000e+00,4.330000000000000000e+02,9.000000000000000000e+00,3.810000000000000000e+02,7.000000000000000000e+00,7.745583057403564453e-01,7.035889625549316406e-01,7.300000190734863281e-01,0.000000000000000000e+00,6.314105987548828125e-01,7.304100513458251953e+00
9.873843193054199219e-01,9.873843193054199219e-01,4.945771694183349609e-01,7.841320037841796875e-01,8.747825622558593750e+00,9.399999618530273438e+00,0.000000000000000000e+00,4.340000000000000000e+02,7.000000000000000000e+00,3.810000000000000000e+02,5.000000000000000000e+00,7.734989523887634277e-01,6.930794119834899902e-01,7.699999809265136719e-01,0.000000000000000000e+00,5.821606516838073730e-01,8.369849205017089844e+00
9.873843193054199219e-01,9.873843193054199219e-01,4.956920444965362549e-01,7.508002519607543945e-01,7.963503837585449219e+00,6.099999904632568359e+00,0.000000000000000000e+00,4.220000000000000000e+02,8.000000000000000000e+00,3.610000000000000000e+02,5.000000000000000000e+00,7.705891728401184082e-01,6.854120492935180664e-01,7.260000109672546387e-01,0.000000000000000000e+00,6.314105987548828125e-01,9.583082199096679688e+00
9.873843193054199219e-01,9.873843193054199219e-01,4.907528758049011230e-01,7.334421277046203613e-01,7.475177288055419922e+00,5.818181991577148438e+00,0.000000000000000000e+00,4.230000000000000000e+02,9.000000000000000000e+00,3.650000000000000000e+02,5.000000000000000000e+00,7.685946226119995117e-01,6.957933902740478516e-01,7.179999947547912598e-01,0.000000000000000000e+00,6.193321943283081055e-01,1.064971256256103516e+01
9.873843193054199219e-01,9.873843193054199219e-01,4.882524907588958740e-01,7.771990895271301270e-01,7.967105388641357422e+00,6.900000095367431641e+00,0.000000000000000000e+00,4.150000000000000000e+02,7.000000000000000000e+00,3.530000000000000000e+02,3.000000000000000000e+00,7.602588534355163574e-01,6.745389699935913086e-01,6.959999799728393555e-01,0.000000000000000000e+00,6.314105987548828125e-01,1.170664405822753906e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.054765939712524414e-01,9.208342432975769043e-01,7.379120826721191406e+00,4.199999809265136719e+00,0.000000000000000000e+00,4.040000000000000000e+02,3.000000000000000000e+00,3.310000000000000000e+02,1.000000000000000000e+00,7.430991530418395996e-01,6.548193693161010742e-01,6.359999775886535645e-01,0.000000000000000000e+00,6.467438340187072754e-01,1.281135463714599609e+01
9.873843193054199219e-01,9.873843193054199219e-01,4.967546761035919189e-01,7.295407056808471680e-01,8.085561752319335938e+00,7.000000000000000000e+00,0.000000000000000000e+00,4.050000000000000000e+02,1.000000000000000000e+01,3.320000000000000000e+02,6.000000000000000000e+00,7.055775523185729980e-01,6.425464153289794922e-01,6.259999871253967285e-01,0.000000000000000000e+00,6.314105987548828125e-01,1.395021438598632812e+01
9.873843193054199219e-01,9.873843193054199219e-01,4.972134828567504883e-01,9.063867330551147461e-01,8.136841773986816406e+00,6.699999809265136719e+00,0.000000000000000000e+00,4.020000000000000000e+02,6.000000000000000000e+00,3.210000000000000000e+02,4.000000000000000000e+00,6.243240833282470703e-01,5.518444776535034180e-01,6.200000047683715820e-01,0.000000000000000000e+00,6.625241041183471680e-01,1.506830406188964844e+01
9.873843193054199219e-01,9.873843193054199219e-01,4.936723113059997559e-01,8.148687481880187988e-01,8.234233856201171875e+00,7.000000000000000000e+00,0.000000000000000000e+00,4.090000000000000000e+02,8.000000000000000000e+00,3.220000000000000000e+02,6.000000000000000000e+00,4.513427615165710449e-01,3.735680282115936279e-01,5.559999942779541016e-01,0.000000000000000000e+00,6.467438340187072754e-01,1.618190765380859375e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.118973851203918457e-01,9.873843193054199219e-01,7.978991508483886719e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.860000000000000000e+02,4.000000000000000000e+00,2.960000000000000000e+02,2.000000000000000000e+00,2.470604181289672852e-01,4.296875000000000000e-02,5.239999890327453613e-01,0.000000000000000000e+00,9.873843193054199219e-01,1.729036140441894531e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.226069688796997070e-01,9.873843193054199219e-01,7.073929786682128906e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.730000000000000000e+02,5.000000000000000000e+00,2.750000000000000000e+02,3.000000000000000000e+00,1.530845165252685547e-01,4.296875000000000000e-02,4.860000014305114746e-01,0.000000000000000000e+00,9.873843193054199219e-01,1.834873199462890625e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.160608291625976562e-01,9.855710268020629883e-01,7.350365161895751953e+00,6.000000000000000000e+00,0.000000000000000000e+00,3.600000000000000000e+02,6.000000000000000000e+00,2.500000000000000000e+02,3.000000000000000000e+00,1.178646683692932129e-01,8.389356732368469238e-02,4.519999921321868896e-01,0.000000000000000000e+00,9.774113893508911133e-01,1.942334938049316406e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.254081487655639648e-01,9.873843193054199219e-01,7.129629611968994141e+00,4.083333492279052734e+00,0.000000000000000000e+00,3.710000000000000000e+02,2.000000000000000000e+00,2.680000000000000000e+02,0.000000000000000000e+00,1.056572422385215759e-01,2.343750000000000000e-02,4.600000083446502686e-01,0.000000000000000000e+00,9.873843193054199219e-01,2.051466369628906250e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.189327001571655273e-01,9.843924045562744141e-01,6.292253494262695312e+00,5.199999809265136719e+00,0.000000000000000000e+00,3.440000000000000000e+02,4.000000000000000000e+00,2.170000000000000000e+02,2.000000000000000000e+00,9.741699695587158203e-02,6.658829748630523682e-02,4.320000112056732178e-01,0.000000000000000000e+00,9.574652314186096191e-01,2.153952598571777344e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.326647758483886719e-01,9.873843193054199219e-01,6.267857074737548828e+00,4.125000000000000000e+00,0.000000000000000000e+00,3.270000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+02,0.000000000000000000e+00,9.279687702655792236e-02,3.906250000000000000e-02,4.399999976158142090e-01,0.000000000000000000e+00,9.873843193054199219e-01,2.273364257812500000e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.200178027153015137e-01,9.873843193054199219e-01,6.092857360839843750e+00,4.636363506317138672e+00,0.000000000000000000e+00,3.400000000000000000e+02,3.000000000000000000e+00,1.940000000000000000e+02,0.000000000000000000e+00,8.957453817129135132e-02,1.562500000000000000e-02,4.399999976158142090e-01,0.000000000000000000e+00,9.873843193054199219e-01,2.379627609252929688e+01
